Mode              : baseline
Run folder        : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\baseline\3rd
Device/GPU        : cuda / NVIDIA GeForce RTX 4060 Laptop GPU
Epochs            : requested=100, best_epoch=98
Optimizer/Sched   : AdamW(wd=0.0001), LR: 0 | LambdaLR
Label smoothing   : 0.0
Mixup/EMA         : OFF / OFF
Best val top1     : 0.816
Artifacts         :
  - CSV           : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\baseline\3rd\training_log.csv
  - Curves        : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\baseline\3rd\accuracy_curve.png , C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\baseline\3rd\loss_curve.png
  - Checkpoint    : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\baseline\3rd\checkpoints\best.pt
  - Best meta     : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\baseline\3rd\best.json

Epoch records (rounded):
epoch train_acc  train_loss  val_acc  val_top5  val_loss       lr
1     0.053 5.004 0.295 0.547 4.042 0.000
2     0.318 3.258 0.571 0.833 2.306 0.000
3     0.599 1.905 0.698 0.914 1.429 0.000
4     0.780 1.085 0.758 0.944 1.041 0.000
5     0.891 0.589 0.770 0.946 0.901 0.000
6     0.948 0.322 0.786 0.945 0.814 0.000
7     0.982 0.154 0.801 0.945 0.786 0.000
8     0.988 0.089 0.790 0.941 0.790 0.000
9     0.995 0.047 0.810 0.947 0.802 0.000
10    0.997 0.030 0.806 0.939 0.787 0.000
11    0.996 0.023 0.800 0.946 0.791 0.000
12    0.999 0.013 0.798 0.938 0.841 0.000
13    0.998 0.012 0.806 0.948 0.802 0.000
14    0.998 0.012 0.814 0.942 0.842 0.000
15    0.998 0.010 0.803 0.934 0.863 0.000
16    0.999 0.006 0.806 0.936 0.868 0.000
17    0.998 0.010 0.802 0.940 0.864 0.000
18    0.999 0.006 0.797 0.936 0.914 0.000
19    0.999 0.007 0.796 0.935 0.903 0.000
20    0.999 0.007 0.793 0.936 0.954 0.000
21    0.999 0.007 0.783 0.928 0.942 0.000
22    0.999 0.008 0.798 0.929 0.943 0.000
23    0.998 0.009 0.794 0.929 0.919 0.000
24    0.998 0.010 0.792 0.925 0.938 0.000
25    0.998 0.007 0.787 0.929 1.038 0.000
26    0.998 0.007 0.787 0.924 1.059 0.000
27    0.999 0.005 0.792 0.932 0.997 0.000
28    0.999 0.005 0.808 0.934 0.963 0.000
29    0.999 0.004 0.805 0.927 0.988 0.000
30    0.999 0.005 0.801 0.926 1.063 0.000
31    0.999 0.004 0.787 0.932 1.059 0.000
32    0.998 0.005 0.789 0.925 1.027 0.000
33    0.999 0.004 0.788 0.929 1.106 0.000
34    0.999 0.004 0.794 0.928 1.082 0.000
35    0.998 0.006 0.787 0.920 1.132 0.000
36    0.999 0.005 0.787 0.930 1.144 0.000
37    0.998 0.005 0.798 0.932 1.046 0.000
38    0.999 0.004 0.793 0.929 1.092 0.000
39    0.998 0.006 0.788 0.930 1.087 0.000
40    0.999 0.003 0.791 0.929 1.077 0.000
41    0.999 0.003 0.784 0.929 1.100 0.000
42    0.999 0.003 0.792 0.930 1.104 0.000
43    0.999 0.004 0.796 0.929 1.103 0.000
44    0.999 0.003 0.790 0.929 1.120 0.000
45    0.999 0.004 0.804 0.929 1.098 0.000
46    0.999 0.003 0.803 0.930 1.103 0.000
47    0.999 0.002 0.797 0.929 1.118 0.000
48    0.999 0.003 0.797 0.937 1.089 0.000
49    0.999 0.003 0.787 0.936 1.129 0.000
50    0.999 0.002 0.787 0.936 1.124 0.000
51    0.999 0.005 0.792 0.939 1.152 0.000
52    0.999 0.003 0.797 0.932 1.183 0.000
53    0.999 0.003 0.792 0.934 1.171 0.000
54    0.999 0.003 0.801 0.937 1.147 0.000
55    0.999 0.002 0.797 0.934 1.186 0.000
56    0.999 0.002 0.799 0.935 1.197 0.000
57    0.999 0.003 0.801 0.939 1.154 0.000
