Mode              : optimized
Run folder        : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\optimized\4th
Device/GPU        : cuda / NVIDIA GeForce RTX 4060 Laptop GPU
Epochs            : requested=100, best_epoch=35
Optimizer/Sched   : AdamW(wd=0.0003), LR: 0 | LambdaLR
Label smoothing   : 0.1
AMP               : True
Hparams           : img_size=320, batch=16, norm=dataset
Best val top1     : 0.868
Artifacts         :
  - CSV           : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\optimized\4th\training_log.csv
  - Curves        : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\optimized\4th\accuracy_curve.png , C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\optimized\4th\loss_curve.png , C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\optimized\4th\learning_rate_curve.png
  - Checkpoint    : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\optimized\4th\checkpoints\best.pt
  - Best meta     : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\efficientnet_b3\optimized\4th\best.json

Epoch records (rounded):
epoch  train_acc  train_loss  val_acc  val_top5  val_loss      lr
1          0.005       0.159    0.007     0.021     5.353  0.000120
2          0.008       0.033    0.007     0.029     5.335  0.000180
3          0.032       0.031    0.005     0.034     5.306  0.000240
4          0.145       0.026    0.013     0.067     5.238  0.000300
5          0.286       0.021    0.043     0.154     5.097  0.000300
6          0.412       0.019    0.140     0.361     4.854  0.000300
7          0.526       0.016    0.339     0.600     4.503  0.000300
8          0.580       0.014    0.537     0.772     4.037  0.000299
9          0.616       0.014    0.640     0.873     3.483  0.000299
10         0.656       0.013    0.707     0.924     2.908  0.000298
11         0.686       0.012    0.762     0.940     2.401  0.000297
12         0.678       0.012    0.805     0.952     2.011  0.000296
13         0.717       0.010    0.826     0.958     1.752  0.000295
14         0.725       0.010    0.841     0.960     1.598  0.000293
15         0.729       0.010    0.846     0.962     1.523  0.000292
16         0.721       0.010    0.850     0.961     1.499  0.000290
17         0.725       0.010    0.858     0.963     1.507  0.000288
18         0.749       0.009    0.857     0.963     1.535  0.000286
19         0.770       0.009    0.860     0.965     1.577  0.000284
20         0.741       0.009    0.864     0.964     1.623  0.000282
21         0.765       0.008    0.861     0.967     1.674  0.000279
22         0.763       0.009    0.864     0.967     1.725  0.000277
23         0.776       0.008    0.861     0.968     1.778  0.000274
24         0.758       0.009    0.861     0.968     1.822  0.000271
25         0.794       0.007    0.861     0.964     1.873  0.000268
26         0.758       0.009    0.856     0.964     1.919  0.000265
27         0.813       0.007    0.859     0.964     1.965  0.000262
28         0.817       0.007    0.855     0.964     2.009  0.000259
29         0.813       0.007    0.857     0.962     2.042  0.000255
30         0.805       0.007    0.859     0.964     2.078  0.000252
31         0.815       0.007    0.860     0.964     2.106  0.000248
32         0.811       0.007    0.863     0.963     2.131  0.000244
33         0.770       0.008    0.862     0.963     2.143  0.000240
34         0.794       0.007    0.865     0.966     2.160  0.000236
35         0.816       0.007    0.868     0.964     2.177  0.000232
36         0.793       0.007    0.862     0.963     2.191  0.000228
37         0.827       0.007    0.860     0.961     2.205  0.000224
38         0.786       0.008    0.860     0.960     2.213  0.000219
39         0.828       0.006    0.853     0.959     2.228  0.000215
40         0.783       0.007    0.854     0.958     2.237  0.000210
41         0.839       0.006    0.850     0.958     2.246  0.000206
42         0.777       0.008    0.850     0.959     2.246  0.000201
43         0.793       0.007    0.852     0.957     2.246  0.000196
44         0.802       0.007    0.850     0.955     2.251  0.000192
45         0.825       0.006    0.849     0.958     2.258  0.000187
46         0.809       0.007    0.849     0.960     2.264  0.000182
47         0.797       0.007    0.850     0.960     2.260  0.000177
48         0.803       0.007    0.846     0.962     2.256  0.000172
49         0.802       0.007    0.848     0.961     2.252  0.000167
50         0.785       0.007    0.847     0.961     2.260  0.000162
51         0.817       0.007    0.846     0.960     2.261  0.000157
52         0.828       0.006    0.845     0.960     2.265  0.000152
53         0.856       0.006    0.841     0.960     2.274  0.000148
54         0.838       0.006    0.843     0.960     2.286  0.000143
55         0.835       0.006    0.845     0.958     2.293  0.000138
56         0.853       0.005    0.846     0.957     2.308  0.000133
57         0.848       0.005    0.841     0.954     2.320  0.000128
58         0.844       0.005    0.847     0.955     2.326  0.000123
59         0.825       0.006    0.841     0.956     2.335  0.000118
60         0.848       0.005    0.839     0.955     2.342  0.000113
61         0.844       0.006    0.842     0.954     2.344  0.000108
62         0.808       0.007    0.842     0.953     2.334  0.000104
63         0.816       0.006    0.844     0.953     2.330  0.000099
64         0.826       0.005    0.844     0.953     2.330  0.000094
65         0.863       0.005    0.844     0.954     2.336  0.000090
66         0.822       0.006    0.846     0.955     2.326  0.000085
67         0.831       0.006    0.844     0.956     2.324  0.000081
68         0.827       0.006    0.841     0.957     2.318  0.000076
69         0.844       0.005    0.841     0.953     2.318  0.000072
70         0.855       0.005    0.842     0.953     2.320  0.000068
71         0.838       0.005    0.841     0.953     2.322  0.000064
72         0.825       0.006    0.841     0.954     2.323  0.000060
73         0.859       0.005    0.842     0.953     2.327  0.000056
74         0.836       0.006    0.843     0.953     2.321  0.000052
75         0.852       0.006    0.842     0.953     2.326  0.000048
76         0.837       0.006    0.843     0.952     2.325  0.000045
77         0.815       0.006    0.841     0.952     2.327  0.000041
78         0.846       0.005    0.840     0.951     2.329  0.000038
79         0.850       0.005    0.839     0.950     2.327  0.000035
80         0.852       0.005    0.840     0.950     2.329  0.000032
81         0.839       0.005    0.838     0.952     2.332  0.000029
82         0.843       0.005    0.837     0.953     2.331  0.000026
83         0.800       0.006    0.836     0.953     2.329  0.000023
84         0.830       0.006    0.834     0.953     2.325  0.000021
85         0.874       0.004    0.832     0.953     2.332  0.000018
86         0.838       0.006    0.833     0.953     2.326  0.000016
87         0.843       0.005    0.835     0.953     2.329  0.000014
88         0.820       0.006    0.831     0.954     2.324  0.000012
89         0.853       0.005    0.829     0.955     2.320  0.000010
90         0.826       0.005    0.829     0.955     2.320  0.000008
91         0.848       0.005    0.831     0.955     2.321  0.000007
92         0.866       0.005    0.831     0.955     2.326  0.000005
93         0.825       0.006    0.833     0.955     2.321  0.000004
94         0.865       0.005    0.834     0.956     2.324  0.000003
95         0.848       0.005    0.835     0.955     2.323  0.000002
96         0.855       0.005    0.834     0.956     2.321  0.000001
97         0.842       0.005    0.833     0.956     2.316  0.000001
98         0.825       0.006    0.834     0.956     2.309  0.000000
99         0.846       0.005    0.834     0.956     2.308  0.000000
100        0.864       0.005    0.833     0.956     2.311  0.000000

Total time        : 2:11:53
