Mode              : baseline
Run folder        : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\baseline\2nd
Device/GPU        : cuda / NVIDIA GeForce RTX 4060 Laptop GPU
Epochs            : requested=100, best_epoch=88
Optimizer/Sched   : AdamW(wd=0.0001), LR: 0 | LambdaLR
Label smoothing   : 0.0
Mixup/EMA         : OFF / OFF
Best val top1     : 0.763
Artifacts         :
  - CSV           : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\baseline\2nd\training_log.csv
  - Curves        : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\baseline\2nd\accuracy_curve.png , C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\baseline\2nd\loss_curve.png
  - Checkpoint    : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\baseline\2nd\checkpoints\best.pt
  - Best meta     : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\baseline\2nd\best.json

Epoch records (rounded):
epoch train_acc  train_loss  val_acc  val_top5  val_loss       lr
1     0.220 3.752 0.484 0.806 1.953 0.001
2     0.661 1.240 0.631 0.888 1.309 0.001
3     0.860 0.512 0.640 0.885 1.321 0.001
4     0.926 0.266 0.644 0.880 1.374 0.001
5     0.952 0.171 0.662 0.875 1.398 0.001
6     0.971 0.115 0.666 0.893 1.387 0.001
7     0.973 0.093 0.667 0.880 1.489 0.001
8     0.978 0.083 0.697 0.899 1.379 0.001
9     0.982 0.070 0.696 0.896 1.405 0.001
10    0.989 0.045 0.698 0.909 1.366 0.001
11    0.989 0.044 0.675 0.889 1.541 0.001
12    0.983 0.052 0.679 0.882 1.599 0.001
13    0.986 0.057 0.672 0.877 1.673 0.001
14    0.988 0.045 0.681 0.879 1.640 0.001
15    0.988 0.041 0.674 0.889 1.581 0.001
16    0.994 0.025 0.720 0.903 1.346 0.001
17    0.994 0.022 0.702 0.896 1.499 0.001
18    0.992 0.027 0.669 0.876 1.660 0.001
19    0.988 0.043 0.687 0.891 1.525 0.001
20    0.990 0.039 0.677 0.885 1.648 0.001
21    0.988 0.038 0.668 0.878 1.811 0.001
22    0.986 0.043 0.682 0.885 1.634 0.001
23    0.992 0.034 0.698 0.897 1.592 0.001
24    0.995 0.017 0.713 0.895 1.478 0.001
25    0.996 0.014 0.710 0.887 1.611 0.001
26    0.998 0.010 0.720 0.893 1.429 0.001
27    0.995 0.014 0.705 0.890 1.556 0.001
28    0.991 0.031 0.712 0.888 1.504 0.001
29    0.992 0.026 0.699 0.886 1.553 0.001
30    0.991 0.030 0.687 0.882 1.557 0.001
31    0.993 0.022 0.701 0.892 1.528 0.001
32    0.994 0.017 0.692 0.881 1.635 0.001
33    0.995 0.017 0.698 0.879 1.631 0.001
34    0.992 0.025 0.694 0.883 1.590 0.001
35    0.991 0.024 0.691 0.880 1.668 0.001
36    0.992 0.025 0.705 0.888 1.542 0.001
37    0.994 0.018 0.712 0.900 1.503 0.001
38    0.996 0.011 0.735 0.902 1.397 0.001
39    0.998 0.006 0.721 0.898 1.488 0.001
40    0.999 0.004 0.721 0.907 1.425 0.001
41    0.999 0.002 0.729 0.911 1.417 0.001
42    0.999 0.002 0.738 0.912 1.386 0.001
43    0.999 0.002 0.743 0.911 1.394 0.001
44    0.999 0.002 0.741 0.907 1.391 0.001
45    0.999 0.002 0.745 0.918 1.374 0.001
46    0.999 0.002 0.741 0.912 1.387 0.001
47    0.999 0.001 0.743 0.915 1.358 0.001
48    0.999 0.001 0.742 0.914 1.376 0.001
49    0.999 0.001 0.747 0.915 1.384 0.001
50    0.999 0.001 0.749 0.916 1.354 0.001
51    0.999 0.001 0.754 0.915 1.363 0.000
52    0.999 0.001 0.751 0.917 1.362 0.000
53    0.999 0.001 0.754 0.916 1.349 0.000
54    0.999 0.001 0.749 0.916 1.366 0.000
55    0.999 0.001 0.751 0.919 1.366 0.000
56    0.999 0.001 0.746 0.913 1.374 0.000
57    0.999 0.001 0.752 0.915 1.362 0.000
58    0.999 0.001 0.753 0.917 1.351 0.000
59    0.999 0.001 0.753 0.916 1.358 0.000
60    0.999 0.001 0.755 0.918 1.354 0.000
61    0.999 0.001 0.751 0.919 1.365 0.000
62    0.999 0.001 0.750 0.914 1.354 0.000
63    0.999 0.001 0.748 0.918 1.360 0.000
64    0.999 0.001 0.752 0.918 1.352 0.000
65    0.999 0.002 0.752 0.920 1.362 0.000
66    0.999 0.001 0.756 0.916 1.377 0.000
67    0.999 0.001 0.756 0.925 1.350 0.000
68    0.999 0.001 0.757 0.917 1.364 0.000
69    0.999 0.001 0.755 0.919 1.358 0.000
70    0.999 0.001 0.758 0.919 1.362 0.000
71    0.999 0.001 0.755 0.922 1.394 0.000
72    0.999 0.001 0.762 0.926 1.357 0.000
73    0.999 0.001 0.755 0.918 1.366 0.000
74    0.999 0.001 0.754 0.918 1.371 0.000
75    0.999 0.001 0.760 0.917 1.376 0.000
76    0.999 0.001 0.758 0.915 1.373 0.000
77    0.999 0.001 0.752 0.924 1.369 0.000
78    0.999 0.001 0.757 0.922 1.362 0.000
79    0.999 0.001 0.759 0.921 1.365 0.000
80    0.999 0.001 0.758 0.921 1.342 0.000
81    0.999 0.001 0.756 0.920 1.343 0.000
82    0.999 0.001 0.757 0.919 1.349 0.000
83    0.999 0.001 0.755 0.921 1.344 0.000
84    0.999 0.001 0.760 0.920 1.360 0.000
85    0.999 0.001 0.757 0.924 1.356 0.000
86    0.999 0.001 0.759 0.921 1.330 0.000
87    0.999 0.001 0.757 0.919 1.360 0.000
88    0.999 0.001 0.763 0.921 1.355 0.000
89    0.999 0.001 0.762 0.926 1.348 0.000
90    0.999 0.001 0.758 0.924 1.347 0.000
91    0.999 0.001 0.762 0.918 1.342 0.000
92    0.999 0.001 0.763 0.921 1.348 0.000
93    0.999 0.001 0.755 0.925 1.355 0.000
94    0.999 0.001 0.760 0.924 1.356 0.000
95    0.999 0.001 0.762 0.922 1.342 0.000
96    1.000 0.001 0.761 0.923 1.363 0.000
97    0.999 0.001 0.759 0.923 1.357 0.000
98    1.000 0.001 0.762 0.928 1.346 0.000
99    1.000 0.001 0.759 0.923 1.361 0.000
100   0.999 0.001 0.763 0.920 1.381 0.000
