Mode              : optimized
Run folder        : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\optimized\4th
Device/GPU        : cuda / NVIDIA GeForce RTX 4060 Laptop GPU
Epochs            : requested=100, best_epoch=58
Optimizer/Sched   : AdamW(wd=0.0002), LR: 0 | LambdaLR
Label smoothing   : 0.1
AMP               : True
Hparams           : img_size=256, batch=32, norm=dataset
Best val top1     : 0.850
Artifacts         :
  - CSV           : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\optimized\4th\training_log.csv
  - Curves        : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\optimized\4th\accuracy_curve.png , C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\optimized\4th\loss_curve.png , C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\optimized\4th\learning_rate_curve.png
  - Checkpoint    : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\optimized\4th\checkpoints\best.pt
  - Best meta     : C:\Users\User\Desktop\COS30082\Assignment\program\outputs\resnet50\optimized\4th\best.json

Epoch records (rounded):
epoch  train_acc  train_loss  val_acc  val_top5  val_loss      lr
1          0.008       0.257    0.007     0.034     5.297  0.000200
2          0.009       0.038    0.005     0.032     5.296  0.000300
3          0.021       0.033    0.006     0.037     5.293  0.000400
4          0.051       0.031    0.007     0.048     5.287  0.000500
5          0.092       0.030    0.015     0.073     5.273  0.000500
6          0.157       0.027    0.038     0.129     5.248  0.000500
7          0.245       0.024    0.087     0.233     5.205  0.000499
8          0.290       0.022    0.150     0.368     5.146  0.000499
9          0.372       0.020    0.225     0.487     5.069  0.000498
10         0.420       0.018    0.298     0.593     4.974  0.000497
11         0.465       0.017    0.360     0.677     4.860  0.000495
12         0.498       0.016    0.411     0.737     4.728  0.000493
13         0.574       0.014    0.467     0.792     4.577  0.000491
14         0.569       0.014    0.522     0.831     4.410  0.000489
15         0.627       0.013    0.562     0.850     4.227  0.000486
16         0.669       0.011    0.586     0.869     4.031  0.000484
17         0.647       0.012    0.615     0.885     3.827  0.000481
18         0.696       0.011    0.646     0.895     3.617  0.000477
19         0.688       0.011    0.671     0.912     3.404  0.000474
20         0.693       0.011    0.698     0.920     3.190  0.000470
21         0.706       0.010    0.713     0.930     2.981  0.000466
22         0.726       0.010    0.728     0.935     2.775  0.000462
23         0.760       0.009    0.738     0.938     2.584  0.000457
24         0.754       0.009    0.749     0.942     2.405  0.000452
25         0.707       0.010    0.758     0.948     2.245  0.000447
26         0.743       0.009    0.767     0.953     2.102  0.000442
27         0.748       0.009    0.782     0.953     1.978  0.000437
28         0.791       0.008    0.787     0.954     1.870  0.000431
29         0.728       0.009    0.801     0.956     1.786  0.000425
30         0.757       0.008    0.802     0.956     1.716  0.000419
31         0.789       0.008    0.810     0.957     1.660  0.000413
32         0.750       0.008    0.818     0.958     1.618  0.000407
33         0.756       0.008    0.821     0.958     1.586  0.000400
34         0.776       0.008    0.827     0.960     1.562  0.000394
35         0.804       0.007    0.830     0.961     1.545  0.000387
36         0.792       0.007    0.833     0.963     1.536  0.000380
37         0.819       0.007    0.836     0.961     1.533  0.000373
38         0.793       0.007    0.841     0.963     1.534  0.000365
39         0.766       0.007    0.842     0.963     1.539  0.000358
